Project ID,Project Town/City,Project ZIP Code,Electricity Utility Name,Natural Gas Utility Name,Audit Completed Date,NYSERDA Clean Energy Fund (CEF) Funding Amount (dollars),Georeference
1051,Spencer,14883,NYS Electric and Gas,,8/26/2019,2500,POINT (-76.484279 42.244555)
976,Bloomfield,14469,National Grid,,8/26/2019,2500,POINT (-77.43121 42.89798)
40,Dryden,13053,National Grid,,8/26/2016,2500,POINT (-76.29598 42.49062)
1006,Cortland,13045,National Grid,,8/25/2019,2500,POINT (-76.17484 42.60348)
38,Fort Plain,13339,National Grid,,8/25/2016,2481,POINT (-74.62332 42.93068)
3,Croghan,13327,National Grid,,8/25/2016,2500,POINT (-75.39118 43.89781)
1017,Belmont,14813,NYS Electric and Gas,,8/24/2019,2500,POINT (-77.99246 42.242569)
340,Ellenburg Depot,12935,NYS Electric and Gas,,8/24/2018,1300,POINT (-73.79423 44.90621)
341,Ellenburg Depot,12935,NYS Electric and Gas,,8/24/2018,2677,POINT (-73.79423 44.90621)
342,Ellenburg Depot,12935,NYS Electric and Gas,,8/24/2018,1221,POINT (-73.79423 44.90621)
343,Fort Ann,12827,National Grid,,8/24/2017,322,POINT (-73.49172 43.41455)
29,Lyons,14489,NYS Electric and Gas,,8/24/2016,2500,POINT (-76.993653 43.084482)
1291,Granville,12832,NYS Electric and Gas,,8/23/2021,2487,POINT (-73.26576 43.40466)
846,Tully,13159,National Grid,,8/23/2018,2500,POINT (-76.10971 42.79814)
344,Plattsburgh,12901,NYS Electric and Gas,,8/23/2017,3329,POINT (-73.45303 44.69913)
397,Westport,12993,NYS Electric and Gas,,8/23/2017,2492,POINT (-73.43526 44.18421)
465,Verona,13478,National Grid,,8/23/2017,2500,POINT (-75.57247 43.14021)
245,Bloomville,13739,NYS Electric and Gas,,8/23/2017,2496,POINT (-74.807 42.33319)
27,Union Springs,13160,NYS Electric and Gas,,8/23/2016,2500,POINT (-76.659767 42.826929)
668,Shortsville,14548,Rochester Gas and Electric,,8/22/2018,2500,POINT (-77.24468 42.976557)
674,Waterport,14571,National Grid,,8/2/2018,2500,POINT (-78.25147 43.32171)
790,Central Square,13036,National Grid,,8/21/2018,2500,POINT (-76.14623 43.28643)
850,Madrid,13660,National Grid,,8/21/2018,2500,POINT (-75.13388 44.74886)
437,Marathon,13803,NYS Electric and Gas,,8/21/2017,2500,POINT (-76.03513 42.44036)
961,Fillmore,14735,Rochester Gas and Electric,,8/20/2019,5349,POINT (-78.1129 42.46588)
111,Elbridge,13060,NYS Electric and Gas,,8/17/2017,6000,POINT (-76.45103 43.03397)
347,Clifton Springs,14432,NYS Electric and Gas,,8/17/2017,2500,POINT (-77.143807 42.961921)
33,Lowville,13367,National Grid,,8/17/2016,2500,POINT (-75.49047 43.78695)
18,Constable,12926,NYS Electric and Gas,,8/17/2016,2500,POINT (-74.29712 44.92934)
25,Ithaca,14850,NYS Electric and Gas,,8/16/2016,2500,POINT (-76.49546 42.44051)
64,Lockport,14094,National Grid,,8/16/2016,5775,POINT (-78.69511 43.16926)
65,Lowville,13367,National Grid,,8/16/2016,2206,POINT (-75.49047 43.78695)
993,Derby,14047,National Grid,,8/15/2019,2034,POINT (-78.97816 42.68146)
264,Middletown,10941,Orange and Rockland Utilities,,8/15/2017,6000,POINT (-74.354005 41.485086)
61,Plymouth,13832,NYS Electric and Gas,,8/15/2016,2500,POINT (-75.668499 42.652483)
46,Clintondale,12515,Central Hudson Gas and Electric,,8/15/2016,2500,POINT (-74.064032 41.680461)
954,Webster,14580,Rochester Gas and Electric,,8/14/2019,2500,POINT (-77.43013 43.21753)
872,Avoca,14809,NYS Electric and Gas,,8/14/2018,2500,POINT (-77.440737 42.418947)
1033,Oxford,13830,NYS Electric and Gas,,8/13/2019,2500,POINT (-75.628966 42.443227)
953,Verona,13478,National Grid,,8/13/2019,2500,POINT (-75.57247 43.14021)
904,Cayuta,14824,NYS Electric and Gas,,8/13/2019,2500,POINT (-76.701194 42.267462)
977,Greenwich,12834,National Grid,,8/13/2019,2500,POINT (-73.49696 43.08752)
959,Lawtons,14091,National Grid,,8/13/2019,2500,POINT (-78.93077 42.53778)
940,Clarence Center,14032,NYS Electric and Gas,,8/13/2019,2500,POINT (-78.63716 43.01309)
1038,Arcade,14009,NYS Electric and Gas,,8/12/2019,2500,POINT (-78.42825 42.53383)
892,Whitesville,14897,National Grid,,8/1/2019,2500,POINT (-77.76974 42.03783)
459,Hannibal,13074,National Grid,,8/1/2018,3853,POINT (-76.58071 43.32133)
19,Wawarsing,12489,Central Hudson Gas and Electric,,8/1/2016,2500,POINT (-74.35863 41.75765)
43,Groton,13073,NYS Electric and Gas,,8/1/2016,1500,POINT (-76.36787 42.59064)
1297,New Paltz,12561,Central Hudson Gas and Electric,,8/11/2021,2500,POINT (-74.07846 41.74611)
1119,Hammondsport,14840,NYS Electric and Gas,,8/11/2021,2500,POINT (-77.181609 42.444864)
1062,Rochester,14609,Rochester Gas and Electric,,8/11/2020,3107,POINT (-77.57289 43.16417)
539,DeRuyter,13052,National Grid,,8/11/2019,2500,POINT (-75.8862 42.75689)
1117,Lansing,14882,NYS Electric and Gas,,8/10/2021,2500,POINT (-76.555392 42.576404)
978,Schenectady,12306,National Grid,,7/9/2019,2500,POINT (-73.96451 42.78765)
654,Rexville,14877,NYS Electric and Gas,,7/9/2018,2500,POINT (-77.66125 42.08494)
30,Lowville,13367,National Grid,,7/9/2018,2500,POINT (-75.49047 43.78695)
775,North Collins,14111,National Grid,,7/9/2018,3153,POINT (-78.94095 42.59468)
955,Seward,12043,National Grid,,7/8/2019,2580,POINT (-74.6124 42.71962)
991,Canastota,13032,National Grid,,7/8/2019,2500,POINT (-75.75489 43.08027)
330,Montgomery,12549,NYS Electric and Gas,,7/7/2017,2500,POINT (-74.244699 41.525344)
329,Middletown,10941,Orange and Rockland Utilities,,7/6/2017,2500,POINT (-74.354005 41.485086)
331,Middletown,10941,Orange and Rockland Utilities,,7/6/2017,2500,POINT (-74.354005 41.485086)
396,Schoharie,12157,National Grid,,7/6/2017,2500,POINT (-74.31147 42.6644)
335,Pine Bush,12566,NYS Electric and Gas,,7/6/2017,2500,POINT (-74.331639 41.624382)
372,Theresa,13691,National Grid,,7/6/2017,2500,POINT (-75.80635 44.2175)
855,Corning,14830,NYS Electric and Gas,,7/5/2018,2500,POINT (-77.05456 42.14326)
1313,Naples,14512,NYS Electric and Gas,,7/4/2021,2120,POINT (-77.391738 42.639555)
641,Lodi,14860,NYS Electric and Gas,,7/4/2018,2500,POINT (-76.82199 42.61403)
841,Chateaugay,12920,NYS Electric and Gas,,7/4/2018,2500,POINT (-74.063438 44.901726)
754,Whitesville,14897,National Grid,,7/4/2018,2500,POINT (-77.76974 42.03783)
810,Kingston,12401,Central Hudson Gas and Electric,,7/4/2018,2500,POINT (-73.99737 41.92698)
635,Dundee,14837,NYS Electric and Gas,,7/4/2018,2500,POINT (-77.010042 42.501328)
873,Pine Island,10969,Orange and Rockland Utilities,,7/31/2018,2500,POINT (-74.486965 41.292249)
354,Hudson Falls,12839,National Grid,,7/31/2017,2500,POINT (-73.58407 43.30447)
17,Ithaca,14850,NYS Electric and Gas,,7/31/2016,2500,POINT (-76.49546 42.44051)
769,Freeville,13068,NYS Electric and Gas,,7/30/2018,2500,POINT (-76.359264 42.505028)
665,Old Chatham,12136,NYS Electric and Gas,,7/30/2018,2500,POINT (-73.558548 42.431684)
727,Preble,13141,National Grid,,7/29/2018,2500,POINT (-76.14677 42.73504)
627,Waterloo,13165,NYS Electric and Gas,,7/29/2018,5000,POINT (-76.876553 42.911888)
52,Turin,13473,National Grid,,7/28/2016,2500,POINT (-75.41 43.62556)
345,Richfield Springs,13439,NYS Electric and Gas,,7/27/2017,2500,POINT (-74.997512 42.853108)
9,Canton,13617,National Grid,,7/27/2016,2500,POINT (-75.16983 44.59994)
747,Greenwich,12834,National Grid,,7/26/2018,2500,POINT (-73.49696 43.08752)
422,Oxford,13830,NYS Electric and Gas,,7/26/2017,2495,POINT (-75.628966 42.443227)
385,Amenia,12501,NYS Electric and Gas,,7/26/2017,2500,POINT (-73.55895 41.858997)
48,Watertown,13601,National Grid,,7/26/2016,2478,POINT (-75.91428 43.97586)
31,Bliss,14024,National Grid,,7/25/2016,5632,POINT (-78.2584 42.59483)
390,Sidney Center,13839,NYS Electric and Gas,,7/24/2017,2500,POINT (-75.256085 42.245845)
424,Whitney Point,13862,NYS Electric and Gas,,7/24/2017,2484,POINT (-75.940895 42.330498)
375,West Edmeston,13485,NYS Electric and Gas,,7/24/2017,2365,POINT (-75.27863 42.76337)
353,Cazenovia,13035,National Grid,,7/24/2017,5434,POINT (-75.84845 42.9296)
306,Hudson Falls,12839,National Grid,,7/24/2017,5000,POINT (-73.58407 43.30447)
438,South Plymouth,13844,NYS Electric and Gas,,7/24/2017,2500,POINT (-75.674315 42.609119)
408,Saranac,12981,NYS Electric and Gas,,7/24/2017,2122,POINT (-73.73819 44.6542)
797,Moravia,13118,NYS Electric and Gas,,7/23/2018,2500,POINT (-76.42153 42.71215)
